Wavelength,Clear,Red,Blue,Green
628.873,0.702017,0.779091,0.073353,0.046193
629.757,0.654497,0.766721,0.068572,0.044943
632.361,0.555795,0.710088,0.061655,0.040481
632.538,0.55034,0.703496,0.061087,0.04012
632.746,0.54411,0.694563,0.06036,0.039685
632.884,0.540036,0.687705,0.059824,0.039386
633.97,0.509319,0.589528,0.052596,0.036719
634.38,0.498028,0.573816,0.048736,0.035534
634.707,0.489022,0.567045,0.046588,0.034509
635.418,0.469157,0.501787,0.043541,0.032081
636.254,0.444327,0.463711,0.040927,0.029186
636.747,0.42822,0.44303,0.039543,0.027656
637.047,0.417502,0.429085,0.038752,0.026809
637.124,0.414594,0.425286,0.038556,0.026599
639.356,0.295074,0.311445,0.034458,0.021232
639.633,0.281411,0.300945,0.034207,0.020607
639.798,0.274766,0.295391,0.034089,0.020234
640.875,0.24919,0.270283,0.033814,0.017656
640.918,0.248481,0.269588,0.033818,0.01754
642.275,0.225816,0.249176,0.034344,0.014847
642.492,0.221713,0.23934,0.034479,0.014748
642.506,0.221422,0.218264,0.034488,0.014742
642.768,0.215601,0.236373,0.034664,0.014644
643.129,0.21089,0.212314,0.034919,0.01453
643.643,0.205196,0.202511,0.035292,0.014389
643.674,0.204859,0.202068,0.035315,0.014381
643.748,0.204079,0.201089,0.035368,0.014363
647.53,0.177105,0.178546,0.039968,0.013784
648.432,0.180563,0.176952,0.042621,0.013752
649.245,0.199331,0.176723,0.04567,0.013767
650.292,0.224956,0.178731,0.049954,0.013868
651.648,0.2342,0.186157,0.051531,0.014201
652.172,0.234395,0.190573,0.050887,0.014429
652.841,0.233092,0.197172,0.049969,0.014835
653.27,0.231568,0.201694,0.04937,0.015178
655.552,0.218521,0.221681,0.046509,0.018534
655.911,0.216,0.223421,0.046321,0.019188
656.542,0.211359,0.225105,0.045943,0.020081
658.432,0.196262,0.21273,0.042757,0.020521
658.543,0.195329,0.211183,0.042541,0.020432
658.792,0.19322,0.217295,0.042053,0.020179
659.285,0.189005,0.202931,0.041073,0.019524
661.297,0.171129,0.183843,0.036894,0.016992
665.681,0.130349,0.14474,0.026774,0.014954
666.692,0.12105,0.135845,0.024043,0.013841
667.314,0.115512,0.13037,0.022132,0.013059
668.503,0.105613,0.119859,0.017284,0.011555
670.256,0.096757,0.103739,0.014377,0.009709
670.745,0.090607,0.097686,0.014076,0.009321
671.816,0.07836,0.086896,0.013598,0.008697
672.232,0.074945,0.083261,0.013452,0.00854
672.488,0.07317,0.081134,0.013369,0.008463
673.573,0.067545,0.073661,0.013065,0.008282
675.485,0.061412,0.065828,0.012636,0.008326
676.994,0.058083,0.061641,0.012354,0.008514
679.834,0.053275,0.055824,0.011908,0.008681
682.493,0.049873,0.052076,0.011563,0.00756
684.148,0.048156,0.050388,0.01138,0.006278
685.22,0.047185,0.049466,0.011272,0.005548
690.482,0.044112,0.045583,0.010894,0.005382
691.258,0.043908,0.044878,0.010864,0.006082
693.293,0.043678,0.042538,0.01083,0.008271
694.493,0.043744,0.041873,0.010855,0.008808
696.123,0.044026,0.041903,0.010991,0.008905
